,Unnamed: 0,Unnamed: 0.1,fund.fundFamilyName,fund.globalId,legalName,analytics.expenseRatio,Africa,Asia Developed,Asia Emerging,Australasia,Canada,Europe Emerging,breakdowns.region.europeExEuro,breakdowns.region.eurozone,breakdowns.region.japan,breakdowns.region.latinAmerica,breakdowns.region.middleEast,breakdowns.region.other,United Kingdom,United States,breakdowns.region.unknown,breakdowns.stockSector.basicMaterials,breakdowns.stockSector.communicationServices,breakdowns.stockSector.consumerCyclical,breakdowns.stockSector.consumerDefensive,Energy,Financial Services,breakdowns.stockSector.healthcare,breakdowns.stockSector.industrials,breakdowns.stockSector.other,breakdowns.stockSector.realEstate,Technology,breakdowns.stockSector.unknown,breakdowns.stockSector.utilities,globalFundId,category,categoryId,fund,assetClass,assetType,risk.totalRisk,fund.priceReturnyr1,fund.priceReturnyr10,fund.priceReturnyr3,fund.priceReturnyr5,fund.histReturnyr1,fund.histReturnyr3,fund.histReturnyr5,fund.histSharpeRatioyr1,fund.histSharpeRatioyr3,fund.histSharpeRatioyr5,fund.histStdDevyr1,fund.histStdDevyr3,fund.histStdDevyr5,globalShareClassId,trackingErrorY1,trackingErrorY3,trackingErrorY5,final_performance,final_risk,final_tracking_error,risk_appetite
0,0,5,PT BNI Asset Management,Z94GP3X47,BNI AM ETF MSCI ESG Leaders Indo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z9574LSN3,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,5.22179,0.0,6.3788300000000016,0.0,5.22179,6.3788300000000016,0.0,0.12,0.21,0.0,14.52,20.93,0.0,Z9574LT44,4.59,3.91,0.0,3.8668733333333343,11.816666666666668,2.833333333333333,low
1,1,7,PT Insight Investments Management,Z94T6EXA2,Insight ETF FTSE Indo Low Vol Factor Idx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z9574LSQ6,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,7.15459,0.0,0.0,0.0,7.15459,0.0,0.0,0.25,0.0,0.0,13.22,0.0,0.0,Z9574LT69,2.0,0.0,0.0,2.384863333333333,4.406666666666667,0.6666666666666666,low
2,2,8,PT Syailendra Capital,Z94R9KQG4,Syailendra ETF MSCI Indo ESG Uni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z9574LSR4,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,5.1457,0.0,0.0,0.0,5.1457,0.0,0.0,0.11,0.0,0.0,14.01,0.0,0.0,Z9574LT36,1.86,0.0,0.0,1.7152333333333332,4.67,0.62,low
3,3,9,PT Nusadana Investama Indonesia,Z94FS2671,Nusadana ETF IDX Value30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z9574LSS2,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,10.12442,0.0,9.88622,0.0,10.12442,9.88622,0.0,0.39,0.34,0.0,16.88,26.41,0.0,Z9574LSX1,9.05,11.42,0.0,6.670213333333334,14.43,6.823333333333332,low
4,4,12,UOB Asset Management Ltd,Z95HBDKV1,UOB APAC Green REIT ETF SGD Class Units,0.0,0.0,22.18,0.0,39.62,0.0,0.0,0.0,0.0,36.42,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1,0.0,1.9,0.0,Z95HSQS38,Property - Indirect Asia,EUCA000687,0.0,Equity,Fund,0.1854503628996156,-14.614720000000002,0.0,0.0,0.0,-11.11163,0.0,0.0,-0.56,0.0,0.0,21.1,0.0,0.0,Z95HSQS79,6.74,0.0,0.0,-3.7038766666666665,7.033333333333334,2.2466666666666666,low
5,5,13,Amundi Asset Management,Z92R00JC6,Lyxor MSCI USA ESG Leaders Extra (DR) UCITS ETF Acc,0.15,0.0,0.07,0.0,0.0,0.0,0.0,0.52,0.28,0.0,0.33,0.0,0.0,1.19,97.6,0.01,2.61,7.77,11.55,8.75,0.69,14.06,15.4,9.43,0.0,3.01,26.02,0.01,0.7,Z940CB4Y4,US Large-Cap Blend Equity,EUCA000526,0.0,Equity,Fund,0.182477732229728,-9.89974,0.0,11.15047,0.0,-9.89974,11.15047,0.0,-0.45,0.56,0.0,23.78,21.19,0.0,Z940CB523,3.54,2.97,0.0,0.4169100000000003,14.99,2.17,low
6,6,14,PT Panin Asset Management,Z94AKM1D8,Panin ETF IDX30 Dinamis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z94G6B897,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,-6.0462,0.0,1.6499700000000002,0.0,-6.0462,1.6499700000000002,0.0,-0.66,-0.01,0.0,14.46,20.26,0.0,Z94G6B8C0,7.07,4.51,0.0,-1.4654099999999997,11.573333333333332,3.86,low
7,7,15,PT Majoris Asset Management,Z94C5JB70,Majoris Pefindo I-Grade ETF Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z94G6B871,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,8.50953,0.0,8.93706,0.0,8.50953,8.93706,0.0,0.32,0.32,0.0,15.04,22.95,0.0,Z94G6B8A4,2.42,6.12,0.0,5.81553,12.663333333333332,2.8466666666666662,low
8,8,16,Hang Seng Investment Management Ltd,Z91H4Y2W5,Hang Seng China A Industry Top Index ETF,1.38,0.0,0.0,99.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,6.75,2.82,12.08,20.89,4.7,12.03,8.52,13.28,0.0,1.72,11.88,0.34,4.99,Z922YYYT6,China Equity - A Shares,EUCA000896,0.0,Equity,Fund,0.20536873082161367,-9.15113,0.0,0.35714,-1.03409,-7.85198,1.58356,0.31541,-0.34,0.12,0.05,21.29,18.66,18.35,Z922YZEQ1,11.14,10.1,8.97,-1.9843366666666664,19.433333333333334,10.07,medium
9,9,17,PT Ciptadana Asset Management,Z94FJQZP6,Cipta ETF Index LQ45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Z95U30NT1,Indonesia Equity,EUCA000780,0.0,Equity,Fund,0.14322965005144472,-2.28933,0.0,3.81521,0.0,-2.28933,3.81521,0.0,-0.43,0.09,0.0,13.52,20.24,0.0,Z95U30NU8,6.89,4.46,0.0,0.5086266666666667,11.253333333333332,3.783333333333333,low
